dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
Mumtaz2016,cbramod,seed42,done,0.0001,32,14,4,pr_auc,0.99997,pr_auc,roc_auc,0.91415,0.984,0.98273,0.9923,0.0032,-0.008299999999999974,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/mumtaz2016/20260918_111525_mumtaz2016_pid3387899.log
Mumtaz2016,cbramod,seed43,done,0.0001,32,15,5,pr_auc,0.99999,pr_auc,roc_auc,0.89392,0.98717,0.98595,0.9923,0.0032,-0.005129999999999968,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/mumtaz2016/20260918_111951_mumtaz2016_pid3389407.log
Mumtaz2016,cbramod,seed44,done,0.0001,32,17,7,pr_auc,0.99992,pr_auc,roc_auc,0.89816,0.97772,0.9756,0.9923,0.0032,-0.014579999999999926,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/mumtaz2016/20260918_112442_mumtaz2016_pid3392189.log
Mumtaz2016,cbramod,seed45,done,0.0001,32,16,6,pr_auc,0.99992,pr_auc,roc_auc,0.89318,0.95607,0.9491,0.9923,0.0032,-0.036229999999999984,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/mumtaz2016/20260918_113013_mumtaz2016_pid3395031.log
Mumtaz2016,cbramod,seed46,done,0.0001,32,14,4,pr_auc,0.99976,pr_auc,roc_auc,0.90438,0.97841,0.97796,0.9923,0.0032,-0.013889999999999958,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/mumtaz2016/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/mumtaz2016/20260918_113526_mumtaz2016_pid3397867.log
PhysioNet-MI,cbramod,seed42,done,0.0001,32,16,6,kappa,0.44176,kappa,f1,0.63181,0.509,0.63196,0.5222,0.0169,-0.01319999999999999,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/physionet_mi/20260919_024342_physionet_mi_pid3663658.log
PhysioNet-MI,cbramod,seed43,done,0.0001,32,16,6,kappa,0.44253,kappa,f1,0.61742,0.48978,0.61711,0.5222,0.0169,-0.032420000000000004,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/physionet_mi/20260919_024723_physionet_mi_pid3664574.log
PhysioNet-MI,cbramod,seed44,done,0.0001,32,16,6,kappa,0.43716,kappa,f1,0.61683,0.48904,0.61647,0.5222,0.0169,-0.03316000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/physionet_mi/20260919_025101_physionet_mi_pid3665509.log
PhysioNet-MI,cbramod,seed45,done,0.0001,32,16,6,kappa,0.44175,kappa,f1,0.61239,0.48311,0.61329,0.5222,0.0169,-0.039090000000000014,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/physionet_mi/20260919_025439_physionet_mi_pid3666422.log
PhysioNet-MI,cbramod,seed46,done,0.0001,32,15,5,kappa,0.44021,kappa,f1,0.61302,0.48387,0.61178,0.5222,0.0169,-0.038329999999999975,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/physionet_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/physionet_mi/20260919_025820_physionet_mi_pid3667553.log
