dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
TUEV,cbramod,seed46,done,0.0001,32,10,1,kappa,0.5192,kappa,f1,0.48697,0.56074,0.77148,0.6744,0.0121,-0.11365999999999998,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/tuev/20260919_053319_tuev_pid3276436.log
BCIC2020-3,reve,seed42,done,0.0001,32,30,29,kappa,0.59667,kappa,f1,0.624,0.53,0.62394,0.4543,0.0154,0.07570000000000005,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed42/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed42/vision/bcic2020_3/20260920_044159_bcic2020_3_pid3608277.log
BCIC2020-3,reve,seed43,done,0.0001,32,30,30,kappa,0.23167,kappa,f1,0.39467,0.24333,0.3947,0.4543,0.0154,-0.21097,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed43/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed43/vision/bcic2020_3/20260920_045025_bcic2020_3_pid3610501.log
BCIC2020-3,reve,seed44,done,0.0001,32,30,25,kappa,0.58,kappa,f1,0.66133,0.57667,0.6609,0.4543,0.0154,0.12237000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed44/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed44/vision/bcic2020_3/20260920_045847_bcic2020_3_pid3612749.log
BCIC2020-3,reve,seed45,done,0.0001,32,30,27,kappa,0.57,kappa,f1,0.628,0.535,0.62784,0.4543,0.0154,0.08070000000000005,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed45/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed45/vision/bcic2020_3/20260920_050709_bcic2020_3_pid3614885.log
BCIC2020-3,reve,seed46,done,0.0001,32,30,23,kappa,0.595,kappa,f1,0.62533,0.53167,0.62547,0.4543,0.0154,0.07737,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed46/bcic2020_3/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1_bcic_poolno_v1/reve/seed46/vision/bcic2020_3/20260920_051232_bcic2020_3_pid3616272.log
CHB-MIT,reve,seed42,done,0.0001,32,10,2,pr_auc,0.56838,pr_auc,roc_auc,0.68853,0.42664,0.90872,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/chb_mit/20260919_085332_chb_mit_pid3324987.log
CHB-MIT,reve,seed43,done,0.0001,32,10,1,pr_auc,0.6262,pr_auc,roc_auc,0.74153,0.44038,0.90658,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/chb_mit/20260919_090338_chb_mit_pid3327390.log
CHB-MIT,reve,seed44,done,0.0001,32,10,1,pr_auc,0.56519,pr_auc,roc_auc,0.76156,0.47182,0.9013,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/chb_mit/20260919_091326_chb_mit_pid3329749.log
CHB-MIT,reve,seed45,done,0.0001,32,10,2,pr_auc,0.5477,pr_auc,roc_auc,0.7026,0.47039,0.89164,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/chb_mit/20260919_092300_chb_mit_pid3332033.log
CHB-MIT,reve,seed46,done,0.0001,32,10,2,pr_auc,0.54988,pr_auc,roc_auc,0.76354,0.50217,0.92321,,,,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/chb_mit/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/chb_mit/20260919_093239_chb_mit_pid3335029.log
ISRUC,reve,seed42,done,0.0001,8,15,6,kappa,0.76787,kappa,f1,0.80354,0.78106,0.82817,0.75,0.0156,0.031059999999999977,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/isruc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed42/vision/isruc/20260919_142307_isruc_pid3405282.log
ISRUC,reve,seed43,done,0.0001,8,15,7,kappa,0.77285,kappa,f1,0.80199,0.77851,0.82554,0.75,0.0156,0.028510000000000035,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/isruc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed43/vision/isruc/20260919_145916_isruc_pid3414369.log
ISRUC,reve,seed44,done,0.0001,8,15,6,kappa,0.76906,kappa,f1,0.79431,0.7685,0.81694,0.75,0.0156,0.01849999999999996,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/isruc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed44/vision/isruc/20260919_153515_isruc_pid3422552.log
ISRUC,reve,seed45,done,0.0001,8,15,7,kappa,0.76648,kappa,f1,0.80125,0.77447,0.82253,0.75,0.0156,0.024469999999999992,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/isruc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed45/vision/isruc/20260919_161023_isruc_pid3430379.log
ISRUC,reve,seed46,done,0.0001,8,15,6,kappa,0.76242,kappa,f1,0.8051,0.78029,0.8273,0.75,0.0156,0.03029000000000004,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/isruc/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/reve/seed46/vision/isruc/20260919_164519_isruc_pid3438164.log
